Product_photo,Group Category,product_category,product_Subcategory,Manufacturer,Packaging,Stock Status,RoHS,ECCN,Manufacturer Part No.,Lead time,HSCode,Description,Price,Technical Specification,Datasheets,Quantity Available,Qty Multiple,Qty Min,COO,Series
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(2)-PJ,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM 2.92MM,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(6)-PJ,16 weeks,85437099,RF ATTENUATOR 6DB 50OHM 2.92MM,,"{’Attenuation Value’: ’6dB’, ’Frequency Range’: ’6dB’, ’Power (Watts)’: ’6dB’, ’Impedance’: ’6dB’, ’Package / Case’: ’6dB’, ’RoHS Status’: ’6dB’, ’Moisture Sensitivity Level (MSL)’: ’6dB’, ’Standard Package’: ’6dB’, ’Other Names’: ’6dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(4)-PJ,16 weeks,85437099,RF ATTENUATOR 4DB 50OHM 2.92MM,,"{’Attenuation Value’: ’4dB’, ’Frequency Range’: ’4dB’, ’Power (Watts)’: ’4dB’, ’Impedance’: ’4dB’, ’Package / Case’: ’4dB’, ’RoHS Status’: ’4dB’, ’Moisture Sensitivity Level (MSL)’: ’4dB’, ’Standard Package’: ’4dB’, ’Other Names’: ’4dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(7)-PJ,16 weeks,85437099,RF ATTENUATOR 7DB 50OHM 2.92MM,,"{’Attenuation Value’: ’7dB’, ’Frequency Range’: ’7dB’, ’Power (Watts)’: ’7dB’, ’Impedance’: ’7dB’, ’Package / Case’: ’7dB’, ’RoHS Status’: ’7dB’, ’Moisture Sensitivity Level (MSL)’: ’7dB’, ’Standard Package’: ’7dB’, ’Other Names’: ’7dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(5)-PJ,16 weeks,85437099,RF ATTENUATOR 5DB 50OHM 2.92MM,,"{’Attenuation Value’: ’5dB’, ’Frequency Range’: ’5dB’, ’Power (Watts)’: ’5dB’, ’Impedance’: ’5dB’, ’Package / Case’: ’5dB’, ’RoHS Status’: ’5dB’, ’Moisture Sensitivity Level (MSL)’: ’5dB’, ’Standard Package’: ’5dB’, ’Other Names’: ’5dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(8)-PJ,16 weeks,85437099,RF ATTENUATOR 8DB 50OHM 2.92MM,,"{’Attenuation Value’: ’8dB’, ’Frequency Range’: ’8dB’, ’Power (Watts)’: ’8dB’, ’Impedance’: ’8dB’, ’Package / Case’: ’8dB’, ’RoHS Status’: ’8dB’, ’Moisture Sensitivity Level (MSL)’: ’8dB’, ’Standard Package’: ’8dB’, ’Other Names’: ’8dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(9)-PJ,16 weeks,85437099,RF ATTENUATOR 9DB 50OHM 2.92MM,,"{’Attenuation Value’: ’9dB’, ’Frequency Range’: ’9dB’, ’Power (Watts)’: ’9dB’, ’Impedance’: ’9dB’, ’Package / Case’: ’9dB’, ’RoHS Status’: ’9dB’, ’Moisture Sensitivity Level (MSL)’: ’9dB’, ’Standard Package’: ’9dB’, ’Other Names’: ’9dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/H2.4-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,H2.4-AT(0)-PJ,16 weeks,85437099,RF ATTENUATOR 0DB 50OHM 2.4MM,,"{’Attenuation Value’: ’0dB’, ’Frequency Range’: ’0dB’, ’Power (Watts)’: ’0dB’, ’Impedance’: ’0dB’, ’Package / Case’: ’0dB’, ’RoHS Status’: ’0dB’, ’Moisture Sensitivity Level (MSL)’: ’0dB’, ’Standard Package’: ’0dB’, ’Other Names’: ’0dB’}",https://www.hirose.com/product/document?clcode=CL0354-0290-0-00&productname=H2.4-AT(0)-PJ&series=2.4mm-AT&documenttype=Catalog&lang=en&documentid=D141400_en,,1,1,,
//media.digikey.com/photos/Hirose%20Elect%20Photos/U.FL-LP(V)-N-2.JPG,Interconnect,Tools,"Insertion, Extraction","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,U.FL-LP(V)-N-2,16 weeks,82079090,TOOL PLUG EXTRACTION,,"{’Tool Type’: ’Extraction Tool’, ’For Use With/Related Products’: ’Extraction Tool’, ’RoHS Status’: ’Extraction Tool’, ’Moisture Sensitivity Level (MSL)’: ’Extraction Tool’, ’Standard Package’: ’Extraction Tool’, ’Other Names’: ’Extraction Tool’}",,,20,20,,U.FL Series Connectors
//media.digikey.com/photos/Hirose%20Elect%20Photos/DF-C-PO(B).jpg,Interconnect,Tools,"Insertion, Extraction","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,DF-C-PO(B),16 weeks,82079090,TOOL HAND EXTRACTION CRIMP SOCKT,,"{’Tool Type’: ’Extraction Tool’, ’For Use With/Related Products’: ’Extraction Tool’, ’RoHS Status’: ’Extraction Tool’, ’Moisture Sensitivity Level (MSL)’: ’Extraction Tool’, ’Standard Package’: ’Extraction Tool’, ’Other Names’: ’Extraction Tool’}",https://www.hirose.com/product/document?clcode=CL0541-0636-1-01&productname=DF1B-18DP-2.5DS(01)&series=DF1B&documenttype=Catalog&lang=en&documentid=D31684_en,,1,1,,DF1B and DF1E Series
